n,tem,per
10,2176,1088
10,3008,1192
10,2792,1176
10,2504,1208
10,2360,1208
10,2216,1208
10,1776,1000
10,2032,1088
10,2360,1224
10,2280,968
10,1880,912
13,3152,1240
13,4024,1416
13,4640,1536
13,3480,1344
13,3160,1432
13,2976,1328
13,3080,1208
13,2760,1296
13,2936,1208
13,3120,1296
13,2752,1136
17,4312,1792
17,4816,1792
17,5464,1760
17,3984,1672
17,4376,1568
17,4568,1912
17,4376,1568
17,4384,1776
17,5568,1704
17,3912,1704
17,5104,1744
23,6424,2512
23,6928,2496
23,8080,2480
23,6920,2272
23,6272,2256
23,6960,2360
23,6272,2272
23,6600,2376
23,7464,2408
23,7032,2440
23,8296,2448
30,9024,3112
30,9888,3080
30,10320,3080
30,8984,2960
30,8760,2768
30,9552,2736
30,10056,2736
30,11360,2992
30,8936,2664
30,9456,3096
30,9992,2960
39,15960,3832
39,15280,3920
39,13144,3576
39,13080,3800
39,13752,3472
39,14200,3840
39,15680,4072
39,15600,3832
39,14848,3904
39,15056,3696
39,12912,4160
51,23920,5016
51,23312,5120
51,17536,4656
51,19280,5120
51,19648,4296
51,18440,4680
51,23120,4792
51,20136,4896
51,23088,4896
51,19928,5152
51,19432,5328
67,32144,6936
67,29496,6352
67,27608,5856
67,27248,6952
67,28776,6336
67,31016,6528
67,29784,6352
67,31704,6728
67,27352,6848
67,27736,6488
67,28840,6080
88,47512,8960
88,42992,8392
88,37392,7776
88,40344,8872
88,40072,8240
88,46712,8672
88,42128,8392
88,46168,8632
88,38640,8528
88,44304,8856
88,46984,8240
115,68688,11360
115,55176,11032
115,52928,10552
115,60632,11632
115,60464,10880
115,64288,11072
115,63376,10792
115,64296,11408
115,61328,10928
115,56592,11376
115,59192,10520
150,75680,14448
150,81304,14688
150,75264,13912
150,114824,13824
150,79192,14032
150,84512,14760
150,83256,13944
150,77872,14392
150,78136,13640
150,77200,13688
150,84280,14376
195,102184,19008
195,121216,18648
195,110312,17752
195,133024,17664
195,112928,18472
195,114800,19440
195,110248,18024
195,110464,18008
195,112760,17720
195,105640,17992
195,129152,18096
254,153584,24904
254,178624,24408
254,157864,23752
254,174312,23664
254,152440,24112
254,154048,24720
254,153376,24144
254,148504,23752
254,150784,23000
254,154352,24232
254,173064,23976
331,203024,30288
331,223864,32360
331,213912,30816
331,204504,30504
331,217760,30680
331,250448,31744
331,241184,31464
331,224136,33024
331,203568,30440
331,200040,31552
331,228648,31144
431,287256,40128
431,297600,41584
431,288832,39936
431,302080,39968
431,295392,40160
431,327888,40848
431,302416,41408
431,294976,41784
431,301712,39696
431,289488,40192
431,304480,40592
561,456832,53928
561,421728,53856
561,416496,52432
561,414152,53440
561,402336,52008
561,400320,53120
561,383104,51848
561,370336,52224
561,423176,53016
561,389144,53752
561,446240,53672
730,615248,68808
730,543696,69352
730,573712,69112
730,554112,68680
730,522224,68808
730,541576,69440
730,527568,67208
730,520048,68424
730,536848,69096
730,525768,69352
730,565120,69392
949,768960,89088
949,756728,90456
949,741016,89992
949,732256,88600
949,708848,89328
949,799968,90560
949,725984,87248
949,692912,89784
949,720432,90216
949,706008,89512
949,766752,89792
1234,1011872,116704
1234,1215192,117576
1234,1017592,116568
1234,994808,117896
1234,974632,115144
1234,1006376,115968
1234,1009800,118312
1234,945664,115552
1234,1008464,113872
1234,1003824,113944
1234,1066920,116808
